Brand,Brand URL
Tesco,https://www.tesco.com/groceries/en-GB/shop/bakery/all?brand=Tesco&viewAll=brand&count=48&page=
Tesco Finest,https://www.tesco.com/groceries/en-GB/shop/bakery/all?brand=Tesco%20Finest&viewAll=brand&count=48&page=
Warburtons,https://www.tesco.com/groceries/en-GB/shop/bakery/all?brand=Warburtons&viewAll=brand&count=48&page=
Mr Kipling,https://www.tesco.com/groceries/en-GB/shop/bakery/all?brand=Mr%20Kipling&viewAll=brand&count=48&page=
om,https://www.tesco.com/groceries/en-GB/shop/bakery/all?brand=Free%20From&viewAll=brand&count=48&page=
Hovis,https://www.tesco.com/groceries/en-GB/shop/bakery/all?brand=Hovis&viewAll=brand&count=48&page=
Soreen,https://www.tesco.com/groceries/en-GB/shop/bakery/all?brand=Soreen&viewAll=brand&count=48&page=
Mcvitie's,https://www.tesco.com/groceries/en-GB/shop/bakery/all?brand=Mcvitie%27s&viewAll=brand&count=48&page=
Cadbury,https://www.tesco.com/groceries/en-GB/shop/bakery/all?brand=Cadbury&viewAll=brand&count=48&page=
Genius,https://www.tesco.com/groceries/en-GB/shop/bakery/all?brand=Genius&viewAll=brand&count=48&page=
WickedKitchen,https://www.tesco.com/groceries/en-GB/shop/bakery/all?brand=Wicked%20Kitchen&viewAll=brand&count=48&page=
Bfree,https://www.tesco.com/groceries/en-GB/shop/bakery/all?brand=Bfree&viewAll=brand&count=48&page=
Kingsmill,https://www.tesco.com/groceries/en-GB/shop/bakery/all?brand=Kingsmill&viewAll=brand&count=48&page=
H.W. Nevills,https://www.tesco.com/groceries/en-GB/shop/bakery/all?brand=H.W.%20Nevills&viewAll=brand&count=48&page=
Ms Mollys,https://www.tesco.com/groceries/en-GB/shop/bakery/all?brand=Ms%20Mollys&viewAll=brand&count=48&page=
New YorkBakery,https://www.tesco.com/groceries/en-GB/shop/bakery/all?brand=New%20York%20Bakery&viewAll=brand&count=48&page=
Thorntons,https://www.tesco.com/groceries/en-GB/shop/bakery/all?brand=Thorntons&viewAll=brand&count=48&page=
Oggs,https://www.tesco.com/groceries/en-GB/shop/bakery/all?brand=Oggs&viewAll=brand&count=48&page=
Old El Paso,https://www.tesco.com/groceries/en-GB/shop/bakery/all?brand=Old%20El%20Paso&viewAll=brand&count=48&page=
