Brand,Brand URL
Tesco,https://www.tesco.com/groceries/en-GB/shop/drinks/all?brand=Tesco&viewAll=brand&count=48&page=
Tesco Finest,https://www.tesco.com/groceries/en-GB/shop/drinks/all?brand=Tesco%20Finest&viewAll=brand&count=48&page=
Twinings,https://www.tesco.com/groceries/en-GB/shop/drinks/all?brand=Twinings&viewAll=brand&count=48&page=
Innocent,https://www.tesco.com/groceries/en-GB/shop/drinks/all?brand=Innocent&viewAll=brand&count=48&page=
Coca Cola,https://www.tesco.com/groceries/en-GB/shop/drinks/all?brand=Coca%20Cola&viewAll=brand&count=48&page=
Robinsons,https://www.tesco.com/groceries/en-GB/shop/drinks/all?brand=Robinsons&viewAll=brand&count=48&page=
Brewdog,https://www.tesco.com/groceries/en-GB/shop/drinks/all?brand=Brewdog&viewAll=brand&count=48&page=
Nescafe,https://www.tesco.com/groceries/en-GB/shop/drinks/all?brand=Nescafe&viewAll=brand&count=48&page=
Pepsi,https://www.tesco.com/groceries/en-GB/shop/drinks/all?brand=Pepsi&viewAll=brand&count=48&page=
Tropicana,https://www.tesco.com/groceries/en-GB/shop/drinks/all?brand=Tropicana&viewAll=brand&count=48&page=
ver Tree,https://www.tesco.com/groceries/en-GB/shop/drinks/all?brand=Fever%20Tree&viewAll=brand&count=48&page=
Kopparberg,https://www.tesco.com/groceries/en-GB/shop/drinks/all?brand=Kopparberg&viewAll=brand&count=48&page=
Rubicon,https://www.tesco.com/groceries/en-GB/shop/drinks/all?brand=Rubicon&viewAll=brand&count=48&page=
Lavazza,https://www.tesco.com/groceries/en-GB/shop/drinks/all?brand=Lavazza&viewAll=brand&count=48&page=
Starbucks,https://www.tesco.com/groceries/en-GB/shop/drinks/all?brand=Starbucks&viewAll=brand&count=48&page=
Costa,https://www.tesco.com/groceries/en-GB/shop/drinks/all?brand=Costa&viewAll=brand&count=48&page=
Monster,https://www.tesco.com/groceries/en-GB/shop/drinks/all?brand=Monster&viewAll=brand&count=48&page=
Pukka,https://www.tesco.com/groceries/en-GB/shop/drinks/all?brand=Pukka&viewAll=brand&count=48&page=
Jack Daniels,https://www.tesco.com/groceries/en-GB/shop/drinks/all?brand=Jack%20Daniels&viewAll=brand&count=48&page=
Volvic,https://www.tesco.com/groceries/en-GB/shop/drinks/all?brand=Volvic&viewAll=brand&count=48&page=
anta,https://www.tesco.com/groceries/en-GB/shop/drinks/all?brand=Fanta&viewAll=brand&count=48&page=
Lucozade,https://www.tesco.com/groceries/en-GB/shop/drinks/all?brand=Lucozade&viewAll=brand&count=48&page=
Red Bull,https://www.tesco.com/groceries/en-GB/shop/drinks/all?brand=Red%20Bull&viewAll=brand&count=48&page=
Tetley,https://www.tesco.com/groceries/en-GB/shop/drinks/all?brand=Tetley&viewAll=brand&count=48&page=
Barefoot,https://www.tesco.com/groceries/en-GB/shop/drinks/all?brand=Barefoot&viewAll=brand&count=48&page=
Hardys,https://www.tesco.com/groceries/en-GB/shop/drinks/all?brand=Hardys&viewAll=brand&count=48&page=
Heineken,https://www.tesco.com/groceries/en-GB/shop/drinks/all?brand=Heineken&viewAll=brand&count=48&page=
Kenco,https://www.tesco.com/groceries/en-GB/shop/drinks/all?brand=Kenco&viewAll=brand&count=48&page=
