Brand,Brand URL
Tesco,https://www.tesco.com/groceries/en-GB/shop/food-cupboard/all?brand=Tesco&viewAll=brand&count=48&page=
Tesco Finest,https://www.tesco.com/groceries/en-GB/shop/food-cupboard/all?brand=Tesco%20Finest&viewAll=brand&count=48&page=
Cadbury,https://www.tesco.com/groceries/en-GB/shop/food-cupboard/all?brand=Cadbury&viewAll=brand&count=48&page=
Schwartz,https://www.tesco.com/groceries/en-GB/shop/food-cupboard/all?brand=Schwartz&viewAll=brand&count=48&page=
om,https://www.tesco.com/groceries/en-GB/shop/food-cupboard/all?brand=Free%20From&viewAll=brand&count=48&page=
Heinz,https://www.tesco.com/groceries/en-GB/shop/food-cupboard/all?brand=Heinz&viewAll=brand&count=48&page=
Dr. Oetker,https://www.tesco.com/groceries/en-GB/shop/food-cupboard/all?brand=Dr.%20Oetker&viewAll=brand&count=48&page=
Walkers,https://www.tesco.com/groceries/en-GB/shop/food-cupboard/all?brand=Walkers&viewAll=brand&count=48&page=
Kellogg's,https://www.tesco.com/groceries/en-GB/shop/food-cupboard/all?brand=Kellogg%27s&viewAll=brand&count=48&page=
Lindt,https://www.tesco.com/groceries/en-GB/shop/food-cupboard/all?brand=Lindt&viewAll=brand&count=48&page=
Batchelors,https://www.tesco.com/groceries/en-GB/shop/food-cupboard/all?brand=Batchelors&viewAll=brand&count=48&page=
Tesco Organic,https://www.tesco.com/groceries/en-GB/shop/food-cupboard/all?brand=Tesco%20Organic&viewAll=brand&count=48&page=
Princes,https://www.tesco.com/groceries/en-GB/shop/food-cupboard/all?brand=Princes&viewAll=brand&count=48&page=
Blue Dragon,https://www.tesco.com/groceries/en-GB/shop/food-cupboard/all?brand=Blue%20Dragon&viewAll=brand&count=48&page=
Colman's,https://www.tesco.com/groceries/en-GB/shop/food-cupboard/all?brand=Colman%27s&viewAll=brand&count=48&page=
Mcvitie's,https://www.tesco.com/groceries/en-GB/shop/food-cupboard/all?brand=Mcvitie%27s&viewAll=brand&count=48&page=
Old El Paso,https://www.tesco.com/groceries/en-GB/shop/food-cupboard/all?brand=Old%20El%20Paso&viewAll=brand&count=48&page=
Quaker,https://www.tesco.com/groceries/en-GB/shop/food-cupboard/all?brand=Quaker&viewAll=brand&count=48&page=
Baxters,https://www.tesco.com/groceries/en-GB/shop/food-cupboard/all?brand=Baxters&viewAll=brand&count=48&page=
