Brand,Brand URL
Tesco,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?brand=Tesco&viewAll=brand&count=48&page=
L'oreal,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?brand=L%27oreal&viewAll=brand&count=48&page=
Nivea,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?brand=Nivea&viewAll=brand&count=48&page=
Leo Bancroft,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?brand=Leo%20Bancroft&viewAll=brand&count=48&page=
Garnier,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?brand=Garnier&viewAll=brand&count=48&page=
Dove,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?brand=Dove&viewAll=brand&count=48&page=
Colgate,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?brand=Colgate&viewAll=brand&count=48&page=
Oral-B,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?brand=Oral-B&viewAll=brand&count=48&page=
Schwarzkopf,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?brand=Schwarzkopf&viewAll=brand&count=48&page=
Baylis &Harding,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?brand=Baylis%20%26%20Harding&viewAll=brand&count=48&page=
John Frieda,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?brand=John%20Frieda&viewAll=brand&count=48&page=
Pantene,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?brand=Pantene&viewAll=brand&count=48&page=
Tresemme,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?brand=Tresemme&viewAll=brand&count=48&page=
Gillette,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?brand=Gillette&viewAll=brand&count=48&page=
Simple,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?brand=Simple&viewAll=brand&count=48&page=
Olay,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?brand=Olay&viewAll=brand&count=48&page=
Lynx,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?brand=Lynx&viewAll=brand&count=48&page=
Tesco Health,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?brand=Tesco%20Health&viewAll=brand&count=48&page=
Aussie,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?brand=Aussie&viewAll=brand&count=48&page=
Sure,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?brand=Sure&viewAll=brand&count=48&page=
Vitabiotics,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?brand=Vitabiotics&viewAll=brand&count=48&page=
W7,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?brand=W7&viewAll=brand&count=48&page=
Tena,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?brand=Tena&viewAll=brand&count=48&page=
Nice & Easy,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?brand=Nice%20%26%20Easy&viewAll=brand&count=48&page=
Sanex,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?brand=Sanex&viewAll=brand&count=48&page=
Head &Shoulders,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?brand=Head%20%26%20Shoulders&viewAll=brand&count=48&page=
Always,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?brand=Always&viewAll=brand&count=48&page=
Bondi Sands,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?brand=Bondi%20Sands&viewAll=brand&count=48&page=
Ogx,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?brand=Ogx&viewAll=brand&count=48&page=
Cantu,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?brand=Cantu&viewAll=brand&count=48&page=
HerbalEssences,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?brand=Herbal%20Essences&viewAll=brand&count=48&page=
Seven Seas,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?brand=Seven%20Seas&viewAll=brand&count=48&page=
Bulldog,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?brand=Bulldog&viewAll=brand&count=48&page=
GilletteVenus,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?brand=Gillette%20Venus&viewAll=brand&count=48&page=
Palmers,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?brand=Palmers&viewAll=brand&count=48&page=
Pro Formula,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?brand=Pro%20Formula&viewAll=brand&count=48&page=
Durex,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?brand=Durex&viewAll=brand&count=48&page=
Eylure,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?brand=Eylure&viewAll=brand&count=48&page=
Radox,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?brand=Radox&viewAll=brand&count=48&page=
