Brand,Brand URL
Tesco Pet,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Tesco%20Pet&viewAll=brand&page=
Good Boy,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Good%20Boy&viewAll=brand&page=
Pedigree,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Pedigree&viewAll=brand&page=
Whiskas,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Whiskas&viewAll=brand&page=
x,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Felix&viewAll=brand&page=
Wagtastic,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Wagtastic&viewAll=brand&page=
Lily'sKitchen,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Lily%27s%20Kitchen&viewAll=brand&page=
Gourmet,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Gourmet&viewAll=brand&page=
Harringtons,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Harringtons&viewAll=brand&page=
Sheba,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Sheba&viewAll=brand&page=
Core SupplyCo,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Core%20Supply%20Co&viewAll=brand&page=
Bakers,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Bakers&viewAll=brand&page=
Butchers,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Butchers&viewAll=brand&page=
Purina One,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Purina%20One&viewAll=brand&page=
Iams,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Iams&viewAll=brand&page=
Nood,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Nood&viewAll=brand&page=
Cesar,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Cesar&viewAll=brand&page=
Dentalife,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Dentalife&viewAll=brand&page=
Dreamies,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Dreamies&viewAll=brand&page=
Encore,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Encore&viewAll=brand&page=
Tesco,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Tesco&viewAll=brand&page=
shpet,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Freshpet&viewAll=brand&page=
Scrumbles,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Scrumbles&viewAll=brand&page=
Winalot,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Winalot&viewAll=brand&page=
Naturo,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Naturo&viewAll=brand&page=
Bob Martin,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Bob%20Martin&viewAll=brand&page=
Denzels,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Denzels&viewAll=brand&page=
Webbox,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Webbox&viewAll=brand&page=
Good Girl,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Good%20Girl&viewAll=brand&page=
Petface,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Petface&viewAll=brand&page=
Go Cat,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Go%20Cat&viewAll=brand&page=
Peckish,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Peckish&viewAll=brand&page=
Hi Life,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Hi%20Life&viewAll=brand&page=
Wagg,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Wagg&viewAll=brand&page=
ontline,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Frontline&viewAll=brand&page=
Meowee,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Meowee&viewAll=brand&page=
Adventuros,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Adventuros&viewAll=brand&page=
Bonio,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Bonio&viewAll=brand&page=
Burgess,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Burgess&viewAll=brand&page=
Catsan,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Catsan&viewAll=brand&page=
Keep It Handy,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Keep%20It%20Handy&viewAll=brand&page=
Perfect Fit,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Perfect%20Fit&viewAll=brand&page=
Tetra,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Tetra&viewAll=brand&page=
Animology,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Animology&viewAll=brand&page=
Aquarian,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Aquarian&viewAll=brand&page=
Crave,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Crave&viewAll=brand&page=
Rotastak,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Rotastak&viewAll=brand&page=
Vets Kitchen,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Vets%20Kitchen&viewAll=brand&page=
Agriselect,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Agriselect&viewAll=brand&page=
Core Home,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Core%20Home&viewAll=brand&page=
Duerr's,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Duerr%27s&viewAll=brand&page=
Pascoe's,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Pascoe%27s&viewAll=brand&page=
Rosewood,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Rosewood&viewAll=brand&page=
Tesco Home,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Tesco%20Home&viewAll=brand&page=
Top Life,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Top%20Life&viewAll=brand&page=
Vanish,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Vanish&viewAll=brand&page=
Westland,https://www.tesco.com/groceries/en-GB/shop/pets/all?brand=Westland&viewAll=brand&page=
