Product ID,Product Name,Cat Website,Price,Price/Kg,Promotion,Innovation,Link,Image
306952089,Calpol Vapour Plug Refills 10 Pads,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£10.50,£1.05/each,£9.45 Clubcard Price,,/groceries/en-GB/products/306952089,https://digitalcontent.api.tesco.com/v2/media/ghs/ef5995cd-4e63-4777-bf84-1bd4668a32c1/7f1631dd-c05b-453b-84e2-59ac9e69fb17_1458352379.jpeg?h=225&w=225
273682943,Haliborange Omega 3 & Multivitamins Softies 30S,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£5.80,£0.19/each,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Vitamins Or Supplements,,/groceries/en-GB/products/273682943,https://digitalcontent.api.tesco.com/v2/media/ghs/72006fd4-2f49-4d44-a4df-1bcc2c04069e/d4e8f2fe-83d8-4a2f-9c5b-0b7b729f0d5f_1421775997.jpeg?h=225&w=225
289431197,Bassetts 7-11 Multi Vitamin Raspberry,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£5.25,£0.18/each,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Vitamins Or Supplements,,/groceries/en-GB/products/289431197,https://digitalcontent.api.tesco.com/v2/media/ghs/b9d36a2c-8b2e-4562-bbb7-11dee65afe6a/fbebefac-da32-4abd-88d5-5821e0cc190a_115278249.jpeg?h=225&w=225
289431669,Bassetts 7-11 Multi Vitamin Plus Omega 3,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£5.80,£0.19/each,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Vitamins Or Supplements,,/groceries/en-GB/products/289431669,https://digitalcontent.api.tesco.com/v2/media/ghs/d2c91491-12af-40fc-8c35-7c83bfc63044/b8a924ed-6e31-4925-bbd4-cf4feaa3d367_1463195168.jpeg?h=225&w=225
265749739,Wellkid Baby And Infant 150Ml,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£5.00,£3.34/100ml,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Vitamins Or Supplements,,/groceries/en-GB/products/265749739,https://digitalcontent.api.tesco.com/v2/media/ghs/6508a8eb-3a08-4dd4-93cd-7abb04164912/600f0aa6-f460-4826-b53e-8abb2e162ad8_2067751267.jpeg?h=225&w=225
289431442,Bassetts 3-6 Multi Vitamin Plus Omega 3,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£5.00,£0.17/each,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Vitamins Or Supplements,,/groceries/en-GB/products/289431442,https://digitalcontent.api.tesco.com/v2/media/ghs/b19f79a1-5fee-4742-97eb-82edde521f9a/9a5cc4c5-412a-400a-8fcc-7c1b78f25d26_1503358234.jpeg?h=225&w=225
289431102,Bassetts 3-6 Multi Vitamin Strawberry,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£4.70,£0.16/each,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Vitamins Or Supplements,,/groceries/en-GB/products/289431102,https://digitalcontent.api.tesco.com/v2/media/ghs/259cdcb3-c090-405c-86c4-d6708e625a36/0c581e6c-007a-495c-86a1-e60efd3583e8_332471330.jpeg?h=225&w=225
264891968,Drynites Bedmats 7 Ultra Absorbent Sheets,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£7.50,£1.88/each,,,/groceries/en-GB/products/264891968,https://digitalcontent.api.tesco.com/v2/media/ghs/17fc401d-b74b-440c-be90-3a3e6c63a9ac/b0b95f68-90fe-41cf-88a2-a1469aafe63a_1941624338.jpeg?h=225&w=225
305039239,Tesco Health 60 Childrens Multivitamins Strawberry Gummies,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£5.25,£0.09/each,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Vitamins Or Supplements,,/groceries/en-GB/products/305039239,https://digitalcontent.api.tesco.com/v2/media/ghs/e88202e6-781f-48f8-ba51-0f158f9d367b/c0b06227-4d8c-4261-a348-2872e485ef1a_388836391.jpeg?h=225&w=225
273211177,Tesco Kids Chewable Multivitamins Plus Minerals X 90,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£3.50,£0.04/each,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Vitamins Or Supplements,,/groceries/en-GB/products/273211177,https://digitalcontent.api.tesco.com/v2/media/ghs/6eee7cce-e452-4966-853f-6be80e53922b/eff1b0ba-1bd5-4c51-92d5-718efda7b66a_243321011.jpeg?h=225&w=225
257750608,Drynites Girl Pyjama Pant Age 8-15 Years 9 Pants,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£5.25,£0.58/each,,,/groceries/en-GB/products/257750608,https://digitalcontent.api.tesco.com/v2/media/ghs/8f02aa4f-5141-463a-b212-0c2c7e5bcf66/2b6da3c9-e69d-4cb4-a37e-fdf251612515_1413820451.jpeg?h=225&w=225
257751391,Drynites Boy Pyjama Pant Age 8-15 Years 9 Pants,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£5.25,£0.58/each,,,/groceries/en-GB/products/257751391,https://digitalcontent.api.tesco.com/v2/media/ghs/850e6470-969d-4c8f-9dff-abb33d41f269/377f4157-2a13-496e-8ff9-f4ebc92609f7_160752032.jpeg?h=225&w=225
297115440,Childs Farm Orange Hair And Body Wash 250Ml,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£4.25,£1.70/100ml,Any 2 for £6 Clubcard Price - Selected Childs Farm Baby Toiletries 250ml,,/groceries/en-GB/products/297115440,https://digitalcontent.api.tesco.com/v2/media/ghs/b9792e05-14b3-4fcb-843c-8e450a916f8e/e6b1a916-8309-4002-b6b2-996643ea71e2_19915262.jpeg?h=225&w=225
311272023,Calpol 6+ Fast Melts Strawberry 12 Tablets,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£4.00,£0.33/each,,New,/groceries/en-GB/products/311272023,https://digitalcontent.api.tesco.com/v2/media/ghs/5e42c687-1573-4132-aa2d-45cb9ddc8b0a/43c38756-ba16-465b-816f-1662ce43c928_492700118.jpeg?h=225&w=225
256725735,Calpol Infant Sugar Free 100Ml,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£3.30,£3.30/100ml,,,/groceries/en-GB/products/256725735,https://digitalcontent.api.tesco.com/v2/media/ghs/8727da78-1130-4e90-b26d-7019251f434d/dcce8121-0790-48e0-8163-e9f7490e0792_530587795.jpeg?h=225&w=225
305053378,Tesco Health 60 Childrens Multivitamins Orange Gummies,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£5.25,£0.09/each,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Vitamins Or Supplements,,/groceries/en-GB/products/305053378,https://digitalcontent.api.tesco.com/v2/media/ghs/4e9fc362-5726-45ab-a1c2-bb0b2fcd430a/843f1453-99aa-48c9-899c-f103acec4c59_25771693.jpeg?h=225&w=225
265135861,Haliborange Strawberry Multivitamins Softies 30S,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£3.49,£0.12/each,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Vitamins Or Supplements,,/groceries/en-GB/products/265135861,https://digitalcontent.api.tesco.com/v2/media/ghs/fd506c2c-0b3c-42f6-89fe-b983319dc865/7d864060-1444-4a06-b844-f04085900796_345786810.jpeg?h=225&w=225
268406939,Calpol Infant Colour Free & Sugar Free 100Ml,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£3.30,£3.30/100ml,,,/groceries/en-GB/products/268406939,https://digitalcontent.api.tesco.com/v2/media/ghs/8a68142a-1177-46a2-b477-0f3ed734c897/0f100d52-3692-40a6-a410-8e1aa3264cab_1412794491.jpeg?h=225&w=225
259454098,Calpol 6+ Sugar Free 80Ml,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£3.30,£4.13/100ml,,,/groceries/en-GB/products/259454098,https://digitalcontent.api.tesco.com/v2/media/ghs/165f53e8-c1fa-4ee7-9672-54565f5ee380/1203f2bc-a237-449c-8e6a-dbdd8e11c556_1689333865.jpeg?h=225&w=225
284127554,Colgate Kids Max Cavity Protection Toothpaste 50Ml,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£2.00,£4.00/100ml,,,/groceries/en-GB/products/284127554,https://digitalcontent.api.tesco.com/v2/media/ghs/4b52d375-3678-45ea-a1da-142dde592d42/4ce541d0-0509-4153-8e49-c2c3dd959f5b_93936334.jpeg?h=225&w=225
261038389,Calpol Infant 100Ml,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£3.30,£3.30/100ml,,,/groceries/en-GB/products/261038389,https://digitalcontent.api.tesco.com/v2/media/ghs/053206a3-9f8b-408e-bbe4-596c8c33dbaa/5a28c5a6-635c-4049-9fb0-ca048f703233_2136485407.jpeg?h=225&w=225
278398673,Aquafresh Big Teeth Tooth Brush,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£1.75,£1.75/each,,,/groceries/en-GB/products/278398673,https://digitalcontent.api.tesco.com/v2/media/ghs/94de8e5e-27b7-42e9-95b7-ef709f0f96b1/786e45a0-50e5-43eb-9180-f202167a28aa_676687585.jpeg?h=225&w=225
267376301,Haliborange Vitamin D & Calcium Softies 30S,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£3.49,£0.12/each,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Vitamins Or Supplements,,/groceries/en-GB/products/267376301,https://digitalcontent.api.tesco.com/v2/media/ghs/c9e52b7d-c039-41b3-a7f8-125624d2aac8/a463051b-e8b9-4e81-8fdb-4bbff6926932_29077023.jpeg?h=225&w=225
260294057,Tesco Children's Paracetamol 2 Month Plus 100Ml,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£2.10,£2.10/100ml,,,/groceries/en-GB/products/260294057,https://digitalcontent.api.tesco.com/v2/media/ghs/e84d3075-ef58-466a-9bb8-828f2001a67c/324f4efa-f4b3-45d9-99d5-3204d955f7b6_1984085623.jpeg?h=225&w=225
259437927,Vosene Kids 3In1 Shampoo & Conditioner 250Ml,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£2.00,£0.80/100ml,,,/groceries/en-GB/products/259437927,https://digitalcontent.api.tesco.com/v2/media/ghs/66003c07-38db-45d9-a378-482f3c51ff2c/952c93f0-744e-407a-a2c1-a1826245b71b_27213804.jpeg?h=225&w=225
261750334,Nurofen For Children Strawberry 100Ml,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£2.99,£2.99/100ml,,,/groceries/en-GB/products/261750334,https://digitalcontent.api.tesco.com/v2/media/ghs/915b38c4-f02a-4908-99e0-251b1af09d36/b7184056-55f7-4c8b-92e8-465cfb117b58_1878689430.jpeg?h=225&w=225
308848418,Sanex Biomeprotect Kids Head To Toe Wash 450Ml,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£3.00,£0.67/100ml,£2.25 Clubcard Price,,/groceries/en-GB/products/308848418,https://digitalcontent.api.tesco.com/v2/media/ghs/a989dbe8-0ecd-46ee-8f43-18f2ff0178d9/f4ece843-c808-4109-8aeb-afce8bbc2609_1848690107.jpeg?h=225&w=225
264269208,Sensodyne Pronamel Mint Toothpaste Children 50Ml,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£2.00,£4.00/100ml,,,/groceries/en-GB/products/264269208,https://digitalcontent.api.tesco.com/v2/media/ghs/652fd844-4bd8-45d5-8712-63a5a3a0481b/d9a72e13-fb09-4184-a958-28486c6dcae2_266182103.jpeg?h=225&w=225
313004765,Aquafresh Milk Teeth Toothbrush 0-2 Years,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£1.75,£1.75/each,,New,/groceries/en-GB/products/313004765,https://digitalcontent.api.tesco.com/v2/media/ghs/ea99da27-16f7-4c2a-836e-933a448a5afb/324bc924-4a76-4350-b60b-e5b9d37d14cf_1039704514.jpeg?h=225&w=225
299456550,Aquafresh Advance Kids Toothpaste 75Ml,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£1.75,£2.34/100ml,,,/groceries/en-GB/products/299456550,https://digitalcontent.api.tesco.com/v2/media/ghs/aa01144e-c0ce-4429-b6ab-73dd5e1fb54e/689ad8ed-99f5-4a94-aa16-633f09a534f0_1392127504.jpeg?h=225&w=225
292470020,Aquafresh Little Teeth 3-5 Years Tooth Paste 75Ml,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£1.75,£2.34/100ml,,,/groceries/en-GB/products/292470020,https://digitalcontent.api.tesco.com/v2/media/ghs/57ef768f-cef9-4e74-9573-e831c8186cce/a456aa6f-0c56-4b60-8a36-eca36f162e41_144623269.jpeg?h=225&w=225
292469914,Aquafresh Big Teeth Toothpaste 75Ml,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£1.75,£2.34/100ml,,,/groceries/en-GB/products/292469914,https://digitalcontent.api.tesco.com/v2/media/ghs/2e906813-6de7-462a-a170-61ae13a320de/bcdba15a-4f93-4f90-a21f-023b1ebfe73c_1249450434.jpeg?h=225&w=225
304381889,Pro Formula Big Steps Toothbrush 6 Years Plus,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£1.05,£1.05/each,,,/groceries/en-GB/products/304381889,https://digitalcontent.api.tesco.com/v2/media/ghs/c7a178a1-2558-4376-bf6b-9af6040eaab8/84bec11a-a714-41d6-8d92-bd736754e3d6_1503106076.jpeg?h=225&w=225
257204279,L'oreal Kids Berry Strawberry Conditioner 250Ml,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£2.40,£0.96/100ml,,,/groceries/en-GB/products/257204279,https://digitalcontent.api.tesco.com/v2/media/ghs/091fef0f-afae-4236-9460-66fe72800181/e018ab84-a6ce-4e3d-b677-7c1c1429d368_102592598.jpeg?h=225&w=225
253482997,L'oreal Kids Extra Gently/Gentle 2 In 1 Shampoo 250Ml,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£2.40,£0.96/100ml,,,/groceries/en-GB/products/253482997,https://digitalcontent.api.tesco.com/v2/media/ghs/2cb2fec7-ba54-4e08-bdf3-345135f79be1/cf33f679-abc7-4021-a780-428912865edc_1304629315.jpeg?h=225&w=225
257204158,L'oreal Kids Tropical Mango Shampoo 250Ml,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£2.40,£0.96/100ml,,,/groceries/en-GB/products/257204158,https://digitalcontent.api.tesco.com/v2/media/ghs/919d983b-ffcb-4ae8-b2af-c8b35f17663b/cb7bcc44-ac00-4c09-b17a-11599a806fce_601825155.jpeg?h=225&w=225
262748238,Aquafresh Kids Bigteeth Mouthwash 300Ml,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£1.75,£0.58/100ml,,,/groceries/en-GB/products/262748238,https://digitalcontent.api.tesco.com/v2/media/ghs/a8d08ee4-83d0-4bee-ac64-66eda17e5cda/f6728a2a-83ed-4c0b-9371-92cd6397bb09_1463827410.jpeg?h=225&w=225
266552342,Matey Molly Bubble Bath 500Ml,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£2.50,£0.50/100ml,£2.00 Clubcard Price,,/groceries/en-GB/products/266552342,https://digitalcontent.api.tesco.com/v2/media/ghs/31e26dbf-468a-4f20-90c4-e4df90255051/3dcd05d4-3f85-49b8-8ac5-d94346b1d930_1939159440.jpeg?h=225&w=225
304377797,Pro Formula Little Steps Toothbrush 3-5 Years,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£1.05,£1.05/each,,,/groceries/en-GB/products/304377797,https://digitalcontent.api.tesco.com/v2/media/ghs/c68eff57-9ac0-4849-ad37-2bebefadc64b/014c3d45-a711-44a8-9fea-725881485d7c_102594607.jpeg?h=225&w=225
304402859,Pro Formula Big Steps Cool Mint Toothpaste 6+ 75Ml,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£1.00,£1.34/100ml,,,/groceries/en-GB/products/304402859,https://digitalcontent.api.tesco.com/v2/media/ghs/54c62d5b-e9e8-4a10-9bb1-d61db563f9de/fc8cc44a-a145-4bd3-a4b3-0ad4e3ad4039_497153042.jpeg?h=225&w=225
304400350,Pro Formula Little Steps Mild Mint Toothpaste 3-5 75Ml,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£1.00,£1.34/100ml,,,/groceries/en-GB/products/304400350,https://digitalcontent.api.tesco.com/v2/media/ghs/b7488791-2dbd-42a4-8b6d-13e80c50a49c/7096a2c8-4b3e-44e2-a0fd-aa225a381787_1087444926.jpeg?h=225&w=225
276116625,Tesco Kids Apple & Melon 2 In 1 Shampoo 250Ml,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£1.05,£0.42/100ml,,,/groceries/en-GB/products/276116625,https://digitalcontent.api.tesco.com/v2/media/ghs/d2ac5a03-00cc-4270-87ab-76e3fc3a9ce7/44a4b5a6-2555-4284-a9ed-d3b6ec883466_271999521.jpeg?h=225&w=225
276116723,Tesco Kids Strawberry 2 In 1 Shampoo 250Ml,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£1.05,£0.42/100ml,,,/groceries/en-GB/products/276116723,https://digitalcontent.api.tesco.com/v2/media/ghs/69abce45-33b1-4e30-8590-7aa6e0b121f5/135c90e0-9edd-45a7-825e-320b4bdc2564_249834157.jpeg?h=225&w=225
262709654,Aquafresh Milk Teeth Toothpaste 50Ml,https://www.tesco.com/groceries/en-GB/shop/health-and-beauty/all?department=Kid%27s%20Zone&viewAll=department&page=,£1.25,£2.50/100ml,,,/groceries/en-GB/products/262709654,https://digitalcontent.api.tesco.com/v2/media/ghs/feee7b10-26ca-42e2-86be-f767fd81f587/e004f5cc-e71d-4229-9afd-e188c523afde_605508905.jpeg?h=225&w=225
